Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,JobRole,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,training,JobSatisfaction,PerformanceRating,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
33,Travel_Rarely,576,Research & Development,27,1,133,Laboratory Technician,Sales,2,F,3,6,5,5,Divorced,0,No,18,2,1,32,4,19,7,12,0,Yes
56,Travel_Frequently,695,Human Resources,9,5,147,Human Resources,Other,4,M,4,1,1,1,Single,7,No,21,4,3,25,3,7,10,4,12,Yes
37,Non-Travel,1424,Sales,24,2,89,Manager,Life Sciences,2,F,2,6,5,5,Single,5,No,21,4,1,11,4,20,13,8,14,No
20,Travel_Frequently,187,Sales,31,2,91,Human Resources,Sales,4,M,2,1,1,1,Married,1,No,25,2,0,22,3,40,17,3,3,No
33,Travel_Rarely,796,Research & Development,5,4,103,Research Director,Sales,3,M,3,1,1,1,Divorced,4,No,21,3,2,36,4,6,12,1,11,Yes
27,Non-Travel,1185,Human Resources,16,4,141,Sales Executive,Medical,3,F,4,4,5,2,Divorced,4,No,23,2,2,6,3,0,11,10,14,Yes
49,Non-Travel,909,Human Resources,37,4,75,Research Director,Technical Degree,2,M,4,0,1,1,Married,7,No,24,3,3,23,3,6,20,8,13,Yes
51,Non-Travel,1128,Sales,50,1,71,Laboratory Technician,Sales,1,M,3,2,2,2,Single,7,No,12,1,0,40,2,27,11,12,5,Yes
36,Travel_Frequently,1420,Sales,24,3,38,Sales Representative,Life Sciences,3,F,3,2,2,2,Divorced,8,No,25,3,1,40,1,14,13,12,11,No
28,Travel_Rarely,190,Research & Development,35,1,68,Sales Representative,Human Resources,1,M,3,1,1,1,Divorced,7,No,24,2,0,3,3,29,9,15,3,No
57,Travel_Rarely,778,Human Resources,35,3,41,Sales Representative,Medical,2,F,4,5,5,5,Divorced,4,No,13,2,2,28,1,20,19,2,16,No
22,Non-Travel,1479,Sales,34,3,58,Research Director,Life Sciences,2,F,4,1,1,1,Single,6,No,11,3,2,28,1,0,20,12,8,No
36,Non-Travel,699,Human Resources,2,5,137,Research Scientist,Medical,2,M,3,4,5,2,Single,7,No,25,4,3,29,4,40,7,8,16,Yes
52,Travel_Frequently,335,Research & Development,28,4,84,Sales Executive,Technical Degree,1,F,1,2,2,2,Married,8,No,19,3,3,11,3,20,3,4,13,No
18,Travel_Frequently,135,Research & Development,21,5,103,Manager,Human Resources,2,M,3,5,5,5,Married,3,No,10,3,2,3,3,5,2,0,5,No
27,Travel_Rarely,779,Research & Development,41,1,68,Sales Representative,Human Resources,1,F,4,5,5,5,Married,3,No,19,2,1,33,3,34,1,15,14,No
45,Non-Travel,1438,Sales,38,2,121,Research Director,Other,1,F,3,6,5,5,Single,7,No,17,1,1,14,1,25,16,14,13,No
29,Travel_Rarely,763,Human Resources,10,3,146,Manufacturing Director,Technical Degree,1,F,2,1,1,1,Single,8,No,19,2,1,14,1,32,14,9,3,No
44,Travel_Rarely,1144,Research & Development,26,2,144,Sales Executive,Human Resources,1,M,2,2,2,2,Married,7,No,13,4,0,11,2,23,15,11,8,Yes
41,Travel_Rarely,1250,Sales,14,5,72,Research Scientist,Medical,3,F,2,1,1,1,Divorced,7,No,21,1,2,17,4,21,10,4,17,No
31,Travel_Rarely,442,Research & Development,1,1,118,Laboratory Technician,Human Resources,4,M,2,1,1,1,Single,7,No,13,2,0,26,2,2,7,8,5,Yes
33,Non-Travel,1282,Human Resources,28,1,44,Laboratory Technician,Technical Degree,1,F,4,5,5,5,Married,1,No,11,3,0,6,2,39,18,5,2,No
20,Travel_Rarely,804,Sales,26,3,138,Sales Executive,Medical,1,M,3,1,1,1,Single,2,No,11,3,2,8,3,14,7,11,16,Yes
22,Non-Travel,107,Sales,37,4,80,Research Director,Technical Degree,3,M,1,0,1,1,Married,7,No,23,4,3,16,4,8,18,12,2,No
22,Non-Travel,193,Sales,32,2,73,Manager,Medical,4,F,4,2,2,2,Single,8,No,10,3,0,13,2,0,13,15,6,Yes
29,Non-Travel,202,Human Resources,7,4,108,Research Scientist,Medical,1,M,3,5,5,5,Single,4,No,25,3,3,4,1,34,17,15,11,No
49,Non-Travel,730,Sales,26,5,117,Research Scientist,Technical Degree,4,F,3,4,5,2,Divorced,7,No,10,3,3,5,2,38,13,9,8,Yes
23,Non-Travel,1291,Research & Development,27,1,89,Sales Representative,Other,4,M,3,2,2,2,Single,8,No,13,1,1,22,1,7,14,6,10,Yes
28,Non-Travel,524,Human Resources,5,2,58,Manufacturing Director,Medical,4,F,1,5,5,5,Divorced,6,No,18,3,1,15,3,32,11,6,5,No
25,Travel_Rarely,1275,Sales,7,5,75,Manager,Human Resources,2,F,2,4,5,2,Single,3,No,20,4,2,6,1,32,16,14,12,No
41,Travel_Rarely,1411,Human Resources,49,3,57,Healthcare Representative,Human Resources,2,M,1,1,1,1,Single,3,No,23,2,2,39,4,8,20,7,6,No
47,Travel_Frequently,1491,Research & Development,44,1,103,Healthcare Representative,Other,4,M,3,3,2,2,Married,6,No,13,1,0,19,1,28,10,5,8,Yes
48,Travel_Frequently,1169,Research & Development,30,2,41,Laboratory Technician,Technical Degree,3,F,4,5,5,5,Single,8,No,11,2,0,7,4,38,9,4,2,No
22,Travel_Frequently,1061,Sales,49,2,76,Manufacturing Director,Human Resources,4,M,4,1,1,1,Single,6,No,25,4,1,9,2,34,13,13,6,Yes
59,Non-Travel,120,Human Resources,47,1,105,Healthcare Representative,Sales,1,F,4,4,5,2,Single,8,No,13,2,1,30,4,19,1,2,15,Yes
47,Travel_Frequently,792,Human Resources,10,1,123,Laboratory Technician,Other,3,F,1,5,5,5,Single,6,No,21,1,1,10,4,15,3,11,0,Yes
31,Travel_Frequently,1208,Research & Development,30,3,123,Manager,Human Resources,3,F,2,6,5,5,Married,2,No,10,1,1,20,1,14,7,5,2,No
52,Travel_Rarely,299,Human Resources,4,4,39,Laboratory Technician,Sales,2,M,3,6,5,5,Single,0,No,20,1,2,1,2,27,17,12,9,Yes
44,Travel_Rarely,545,Research & Development,13,1,145,Laboratory Technician,Life Sciences,1,F,2,2,2,2,Married,6,No,12,2,0,25,1,12,14,0,0,Yes
22,Travel_Frequently,1248,Research & Development,26,1,73,Laboratory Technician,Technical Degree,1,M,3,0,1,1,Married,6,No,22,4,0,29,4,33,20,2,14,No
40,Travel_Rarely,355,Research & Development,50,1,140,Healthcare Representative,Other,2,M,1,6,5,5,Divorced,8,No,17,2,0,21,4,39,8,7,15,No
49,Travel_Rarely,682,Research & Development,47,5,83,Research Director,Medical,2,M,1,3,2,2,Single,2,No,22,4,2,9,4,40,20,7,2,Yes
30,Travel_Frequently,1161,Sales,5,2,107,Manager,Life Sciences,3,M,2,5,5,5,Married,6,No,16,2,1,3,4,3,8,3,11,Yes
35,Travel_Frequently,1060,Research & Development,6,4,150,Manager,Human Resources,2,F,4,1,1,1,Divorced,0,No,13,2,2,2,2,4,5,3,15,Yes
26,Travel_Rarely,185,Sales,13,5,102,Research Director,Other,1,M,1,3,2,2,Single,8,No,12,3,3,23,1,11,18,3,3,Yes
44,Travel_Rarely,894,Human Resources,7,3,56,Research Director,Life Sciences,4,F,3,5,5,5,Married,3,No,21,3,2,35,3,32,9,1,6,No
49,Non-Travel,1448,Sales,33,3,92,Research Scientist,Other,1,F,4,1,1,1,Single,4,No,10,2,2,1,2,20,8,5,11,Yes
41,Travel_Rarely,1034,Research & Development,20,1,119,Laboratory Technician,Other,1,F,4,4,5,2,Married,0,No,23,4,1,17,4,25,11,8,2,Yes
36,Travel_Rarely,1464,Human Resources,14,4,138,Research Scientist,Life Sciences,1,M,2,6,5,5,Single,8,No,24,4,2,30,4,32,5,9,11,No
39,Travel_Rarely,1241,Research & Development,31,1,134,Human Resources,Sales,1,M,2,5,5,5,Divorced,8,No,20,2,1,29,3,6,5,2,7,No
56,Travel_Frequently,220,Research & Development,19,5,149,Manager,Medical,2,F,2,1,1,1,Single,2,No,20,4,3,9,4,4,5,0,12,Yes
41,Travel_Frequently,1076,Research & Development,41,5,81,Human Resources,Medical,3,F,4,5,5,5,Divorced,3,No,23,2,3,20,2,3,0,3,9,Yes
40,Travel_Rarely,905,Sales,4,3,71,Research Director,Human Resources,3,M,3,2,2,2,Divorced,1,No,14,4,2,9,3,11,15,6,13,Yes
54,Travel_Frequently,1169,Research & Development,2,4,62,Healthcare Representative,Technical Degree,1,F,1,5,5,5,Married,0,No,17,1,3,25,3,26,12,5,9,Yes
20,Travel_Rarely,872,Human Resources,2,5,125,Manufacturing Director,Technical Degree,3,F,3,0,1,1,Married,1,No,13,2,2,34,4,9,8,4,5,No
55,Travel_Rarely,763,Research & Development,9,2,40,Sales Representative,Sales,3,F,3,1,1,1,Single,7,No,15,1,0,21,3,33,15,1,11,Yes
59,Travel_Frequently,299,Sales,6,5,118,Research Director,Technical Degree,2,F,4,0,1,1,Divorced,6,No,18,4,3,35,1,34,8,4,13,Yes
