Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,training,JobSatisfaction,PerformanceRating,MaritalStatus,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
33,Travel_Rarely,576,Research & Development,27,1,133,21280,17024,Laboratory Technician,16,Sales,1,03-1933576,2,F,3,6,5,5,Divorced,0,Yes,No,18,2,80,1,32,4,19,7,12,0,Yes
56,Travel_Frequently,695,Human Resources,9,5,147,23520,18816,Human Resources,14,Other,1,55-0827682,4,M,4,1,1,1,Single,7,Yes,No,21,4,80,3,25,3,7,10,4,12,Yes
37,Non-Travel,1424,Sales,24,2,89,14240,11392,Manager,14,Life Sciences,1,75-3156735,2,F,2,6,5,5,Single,5,Yes,No,21,4,80,1,11,4,20,13,8,14,No
20,Travel_Frequently,187,Sales,31,2,91,14560,11648,Human Resources,14,Sales,1,55-2677679,4,M,2,1,1,1,Married,1,Yes,No,25,2,80,0,22,3,40,17,3,3,No
33,Travel_Rarely,796,Research & Development,5,4,103,16480,13184,Research Director,16,Sales,1,89-7525549,3,M,3,1,1,1,Divorced,4,Yes,No,21,3,80,2,36,4,6,12,1,11,Yes
27,Non-Travel,1185,Human Resources,16,4,141,22560,18048,Sales Executive,16,Medical,1,18-8429383,3,F,4,4,5,2,Divorced,4,Yes,No,23,2,80,2,6,3,0,11,10,14,Yes
49,Non-Travel,909,Human Resources,37,4,75,12000,9600,Research Director,20,Technical Degree,1,53-5268802,2,M,4,0,1,1,Married,7,Yes,No,24,3,80,3,23,3,6,20,8,13,Yes
51,Non-Travel,1128,Sales,50,1,71,11360,9088,Laboratory Technician,16,Sales,1,20-5511121,1,M,3,2,2,2,Single,7,Yes,No,12,1,80,0,40,2,27,11,12,5,Yes
36,Travel_Frequently,1420,Sales,24,3,38,6080,4864,Sales Representative,18,Life Sciences,1,96-2468355,3,F,3,2,2,2,Divorced,8,Yes,No,25,3,80,1,40,1,14,13,12,11,No
28,Travel_Rarely,190,Research & Development,35,1,68,10880,8704,Sales Representative,16,Human Resources,1,74-5248035,1,M,3,1,1,1,Divorced,7,Yes,No,24,2,80,0,3,3,29,9,15,3,No
57,Travel_Rarely,778,Human Resources,35,3,41,6560,5248,Sales Representative,18,Medical,1,63-1876871,2,F,4,5,5,5,Divorced,4,Yes,No,13,2,80,2,28,1,20,19,2,16,No
22,Non-Travel,1479,Sales,34,3,58,9280,7424,Research Director,16,Life Sciences,1,27-9696792,2,F,4,1,1,1,Single,6,Yes,No,11,3,80,2,28,1,0,20,12,8,No
36,Non-Travel,699,Human Resources,2,5,137,21920,17536,Research Scientist,16,Medical,1,62-4090312,2,M,3,4,5,2,Single,7,Yes,No,25,4,80,3,29,4,40,7,8,16,Yes
52,Travel_Frequently,335,Research & Development,28,4,84,13440,10752,Sales Executive,18,Technical Degree,1,79-6109283,1,F,1,2,2,2,Married,8,Yes,No,19,3,80,3,11,3,20,3,4,13,No
18,Travel_Frequently,135,Research & Development,21,5,103,16480,13184,Manager,18,Human Resources,1,25-4030640,2,M,3,5,5,5,Married,3,Yes,No,10,3,80,2,3,3,5,2,0,5,No
